0610010F05Rik
0610030E20Rik
0610037L13Rik
1110004F10Rik
1110008F13Rik
1110008P14Rik
1110032A03Rik
1110038F14Rik
1110051M20Rik
1600020E01Rik
1700019D03Rik
1700020I14Rik
1700025G04Rik
1810022K09Rik
2010111I01Rik
2010300C02Rik
2210016L21Rik
2210408I21Rik
2300009A05Rik
2310035C23Rik
2310061I04Rik
2410089E03Rik
2610008E11Rik
2610044O15Rik8
2610301B20Rik
2610507B11Rik
2810403A07Rik
2810474O19Rik
2900011O08Rik
2900055J20Rik
3110035E14Rik
3110043O21Rik
3110082I17Rik
4732471J01Rik
4833420G17Rik
4833439L19Rik
4930402H24Rik
4930447C04Rik
4932438A13Rik
4933427D14Rik
4933434E20Rik
5031425E22Rik
5031439G07Rik
5330417C22Rik
5330434G04Rik
5730455P16Rik
6030458C11Rik
6330403K07Rik
9030624J02Rik
9330159F19Rik
9330182L06Rik
9530059O14Rik
9930021J03Rik
A230006K03Rik
A230050P20Rik
A330102I10Rik
A730017C20Rik
A830018L16Rik
A830082K12Rik
AI314180
AI593442
AU040320
Aacs
Aagab
Aak1
Aars
Aatf
Aatk
Abat
Abca2
Abca5
Abcb9
Abcc5
Abcd2
Abcd3
Abce1
Abcf1
Abhd12
Abhd16a
Abhd17b
Abhd6
Abhd8
Abi1
Abi2
Ablim1
Ablim2
Abr
Acadsb
Acap2
Acap3
Acat1
Acbd5
Acbd6
Acer3
Acin1
Aco2
Acot13
Acot7
Acox1
Acp1
Acsl1
Acsl3
Acsl4
Acsl5
Acsl6
Acss2
Actb
Actg1
Actl6b
Actn1
Actn4
Actr10
Actr1a
Actr1b
Actr2
Actr3
Actr3b
Acvr2a
Acyp2
Adam10
Adam11
Adam15
Adam22
Adam23
Adam9
Adap1
Adar
Adarb1
Adck1
Adcy1
Adcy2
Adcy9
Add1
Add2
Add3
Adipor1
Adk
Adrb1
Adss
Aebp2
Aes
Aff3
Aff4
Afg3l2
Aftph
Agap3
Agbl4
Agfg1
Aggf1
Agk
Ago3
Agpat3
Agpat4
Agpat5
Agps
Agrn
Agtpbp1
Ahctf1
Ahcyl1
Ahcyl2
Ahi1
Ahsa1
Aifm3
Aig1
Aimp1
Ajap1
Ak5
Ak6
Akap11
Akap17b
Akap6
Akap7
Akap8
Akap8l
Akap9
Akirin1
Akirin2
Akr1a1
Akt3
Aktip
Alcam
Alkbh8
Amd1
Amfr
Amn1
Amph
Amz2
Anapc1
Anapc11
Anapc16
Anapc4
Anapc5
Angel2
Ank
Ank2
Ank3
Ankhd1
Ankib1
Ankle2
Ankmy2
Ankra2
Ankrd10
Ankrd11
Ankrd12
Ankrd13d
Ankrd17
Ankrd24
Ankrd33b
Ankrd40
Ankrd45
Anks1b
Anks3
Ano3
Anp32a
Anxa6
Ap1ar
Ap1b1
Ap1g1
Ap1m1
Ap1s1
Ap2a1
Ap2a2
Ap2b1
Ap3b1
Ap3b2
Ap3d1
Ap3m1
Ap3m2
Ap3s1
Ap4s1
Apba1
Apba2
Apbb1
Apbb2
Apc
Aplp1
Aplp2
Apmap
Apopt1
App
Appbp2
Appl1
Aqr
Araf
Arap2
Arcn1
Arel1
Arf1
Arf3
Arf4
Arf5
Arfgap1
Arfgef1
Arfgef2
Arfip2
Arfrp1
Arglu1
Arhgap1
Arhgap15
Arhgap20
Arhgap21
Arhgap23
Arhgap26
Arhgap32
Arhgap33
Arhgap39
Arhgap44
Arhgap5
Arhgdig
Arhgef12
Arhgef17
Arhgef2
Arhgef25
Arhgef3
Arhgef4
Arhgef7
Arhgef9
Arid1a
Arid1b
Arid2
Arid4a
Arid4b
Arid5b
Arih1
Arih2
Arl1
Arl14ep
Arl15
Arl2
Arl2bp
Arl3
Arl6ip1
Arl6ip4
Arl6ip5
Arl8a
Arl8b
Armc1
Armc8
Armc9
Armcx1
Arnt2
Arntl
Arpc1a
Arpc2
Arpc3
Arpc5l
Arpp19
Arpp21
Arrb1
Arsb
Asah1
Asap1
Asap2
Asb13
Asb3
Asb8
Ascc3
Ash1l
Asic1
Asic2
Asph
Asphd2
Astn1
Asxl1
Asxl2
Atad1
Atad2b
Atat1
Atcay
Atf2
Atf6
Atf7ip
Atg12
Atg13
Atg16l1
Atg16l2
Atg3
Atg4b
Atg4c
Atg4d
Atg5
Atg9a
Atl1
Atl2
Atp11b
Atp13a2
Atp13a3
Atp1a1
Atp1a3
Atp1b1
Atp1b3
Atp2a2
Atp2b1
Atp2b2
Atp2b3
Atp2b4
Atp2c1
Atp5a1
Atp5b
Atp5c1
Atp5d
Atp5f1
Atp5g1
Atp5g2
Atp5j2
Atp5l
Atp6ap1
Atp6ap2
Atp6v0a1
Atp6v0b
Atp6v0d1
Atp6v0e2
Atp6v1a
Atp6v1b2
Atp6v1c1
Atp6v1d
Atp6v1e1
Atp6v1g2
Atp6v1h
Atp8a1
Atp8a2
Atp9a
Atp9b
Atpif1
Atraid
Atrn
Atrnl1
Atrx
Atxn1
Atxn10
Atxn2
Atxn2l
Atxn7l1
Atxn7l3b
Auh
Auts2
Avl9
Azi2
Azin1
B230217C12Rik
B230219D22Rik
B3galt1
B3galt2
B3gat1
B3gat3
B4galnt1
B4galt5
B4galt6
BC003331
BC003965
BC005537
BC005561
BC005624
BC031181
Babam1
Bace1
Bag4
Baiap2
Basp1
Bax
Baz1b
Baz2b
Bbip1
Bbs4
Bbs5
Bbs7
Bbx
Bcap29
Bcap31
Bcas2
Bcas3
Bcat1
Bckdhb
Bcl11a
Bcl11b
Bcl2
Bcl2l1
Bcl7a
Bcl9
Bclaf1
Bdh1
Bdnf
Bdp1
Becn1
Begain
Bend6
Bex2
Bfar
Bhlhb9
Bicd1
Bin1
Birc2
Birc6
Blcap
Blmh
Bloc1s2
Blzf1
Bmpr1a
Bmpr2
Bmyc
Bnip3l
Bod1l
Bphl
Bptf
Braf
Brap
Brd3
Brd4
Brd7
Brd8
Brd9
Bri3bp
Brinp1
Brinp2
Brinp3
Brk1
Brms1
Brms1l
Brsk2
Brwd1
Bscl2
Bsg
Bsn
Btaf1
Btbd1
Btbd10
Btbd3
Btbd9
Btf3l4
Btrc
Bub3
Bzw1
Bzw2
C130071C03Rik
C1qtnf4
C2cd5
Caap1
Cab39
Cab39l
Cabin1
Cabp1
Cacna1a
Cacna1b
Cacna1c
Cacna1d
Cacna1e
Cacna1g
Cacna2d1
Cacna2d3
Cacnb1
Cacnb2
Cacnb3
Cacnb4
Cacng2
Cacng3
Cacul1
Cadm1
Cadm2
Cadm3
Cadm4
Cadps
Cadps2
Calb1
Calcoco1
Calm1
Calm2
Calm3
Caln1
Calr
Caly
Camk1
Camk1d
Camk2a
Camk2b
Camk2d
Camk2g
Camk2n1
Camk4
Camkk1
Camkk2
Camkmt
Camkv
Caml
Camsap1
Camsap2
Camta1
Camta2
Cand1
Canx
Cap1
Cap2
Capn10
Capn7
Capns1
Caprin1
Capza1
Capza2
Capzb
Car10
Car11
Car7
Cars
Casc3
Casc4
Casd1
Cask
Caskin1
Cbfa2t2
Cbll1
Cbwd1
Cbx1
Cbx3
Cbx5
Cby1
Ccar1
